Timestamp,Please enter your experiment ID. ,Please enter your gender:,Please enter your major:,How many years has it been since you first started learning programming? ,What is your current level of education?  ,Have you ever studied front-end development or taken related courses?,Is the Interest-based Generation Module helpful to you? What advantages do you think it has?,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,What suggestions do you have to improve the Interest-based Generation Module?  ,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,What suggestions do you have to improve the Open-ended Exploration Module?  ,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,Is the Programming Module  helpful to you? What advantages do you think it has?,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,What suggestions do you have to improve the Programming Module?  ,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,"If you have any further suggestions, please write them below.",I think that I would like to use this system frequently.  ,I found the system unnecessarily complex.  ,I thought the system was easy to use. ,I think that I would need the support of a technical person to be able to use this system. ,I found the various functions in this system were well integrated. ,I thought there was too much inconsistency in this system. ,I would imagine that most people would learn to use this system very quickly. ,I found the system very cumbersome to use. ,I felt very confident using the system. ,I needed to learn a lot of things before I could get going with this system. ,"  How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?  ","How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)? ",How much time pressure did you feel due to the rate or pace at which the tasks occurred? ,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals? ,How hard did you have to work (mentally and physically) to accomplish your level of performance? ,"How insecure, discouraged, irritated, stressed, and annoyed versus secure, gratified, content, relaxed, and complacent did you feel during the task? ","  I can understand the basic logical structure of HTML, CSS, and JavaScript code.  ","  I can understand how conditional statements (e.g., if...else) work with AI support.  ",I can predict the result of a JavaScript program when given specific input values. ,"  I can identify and correct errors in my HTML, CSS, or JavaScript code with the help of AI.  ",I can understand error messages and AI-generated explanations when my code does not run correctly. ,I can improve my programming skills by learning from AI debugging suggestions. ,"I can write a simple web page using HTML, CSS, and JavaScript with AI guidance. ","I can use AI to help me apply loops, conditions, or functions in JavaScript. ",I can combine AI suggestions with my own knowledge to solve a programming task. ,I feel confident that I can complete programming exercises with AI support. ,I believe I can continue learning web development effectively with AI assistance. ,"I can work more efficiently by dividing tasks between myself and AI (e.g., I focus on design, AI helps with debugging). "
2025/09/09 4:23:00 PM GMT+8,baseline003,male,Computer Science and Technology,2–4 years,Postgraduate or higher,Yes,"Yes, he allows me to learn from web pages related to topics that interest me, which makes the learning process more enjoyable for me",No difficulties encountered,"I hope to be able to choose which features to generate, which features to remove, and allow me to personalize the description of the effects I want to generate",,,,,,,"Helpful, this programming module is very intelligent and can help me fill in tags or attributes, and I can also immediately see the generated code effect. The user experience is very good!",No difficulties encountered,no,"Helpful, he introduced me to unfamiliar concepts very carefully based on my level, and instead of directly providing answers to questions, he gradually guided me and helped me understand the knowledge, which was very thoughtful",He cannot directly read the code I output in the compiler and the test results of the code. I need to manually copy it to him in order for him to help me analyze it. This experience is a bit troublesome,"I hope to have direct functionality so that he can read the code and test results in the compiler without me having to manually copy them. It would be best to switch modes between the teaching assistant and the code assistant. When changing the code, I don't need him to guide me slowly. I hope he can immediately point out the problem and tell me the solution",,4,2,5,2,5,1,5,1,4,2,5,2,6,8,3,2,5,5,5,5,5,5,5,5,5,5,5,5
2025/09/09 4:29:57 PM GMT+8,baseline001,Male,Computer Science and Technology,1–2 years,Undergraduate – Year 3 (Junior),Yes,"If I can see the content I want to learn, it can make me more interested. For example, I really like kittens, and there are pet-themed websites here.",No,"It would be better to have more options, and then you can adjust the difficulty.",,,,,,,"I think this design is great. After I finished learning it, I could immediately practice and found many problems that I thought I understood but actually didn't.","I found that the current code completion can only complete tags like <div>, but it actually also has the corresponding closing tag </div>, and the current programming modules can't help us complete this closing tag at the same time.","When I enter tags like <div>, it's best to also add the corresponding </div>.","There's one advantage, which is that there's an AI next to it, so I don't have to switch pages frequently","Everything requires me to copy and paste into this, making it difficult to use. It's no different from other AIs; basically, it's like I've opened a split screen and placed another AI next to it.","I hope he can know the content in my web page, such as being able to see my code like a cursor, or being able to see my current test questions and results, or giving me a button so I can one-click share the information with AI.",,2,2,2,2,4,3,4,5,2,2,9,6,5,3,7,8,2,4,3,3,2,4,4,4,4,3,4,4
2025/09/09 5:11:39 PM GMT+8,exp004,male,Computer Science and Technology,2–4 years,Undergraduate – Year 3 (Junior),Yes,"I find it helpful as this module provides multiple options, allowing me to choose content that interests me for learning. I believe this format enhances my learning interest. Compared to other monotonous content, I prefer this approach because it boosts my engagement and motivation to learn.","There are basically no difficulties. The usage is very simple and the effectiveness is excellent, but the response speed still needs improvement.","I think the range of topics provided could be further expanded, or users could be allowed to input topics freely to enhance flexibility.","I think this module allows me to freely choose the elements I want to learn, and the element labels and code are displayed, which helps me better understand their implementation. I also like the knowledge graph in this module, which allows me to jump around freely. However, my favorite thing is the degree of freedom it provides.","I didn't encounter any issues while using it. The only drawback I noticed was the lack of CSS styling and JS node selection. However, the module does offer a feature that unlocks previously learned node elements, allowing users to select elements from previous lessons in other nodes. I think this is a very well-designed feature.","I think this module only needs to expand the selection of node elements, allowing the choice of CSS and JS.","This progressive knowledge expansion module consists of four levels of knowledge cards, with content difficulty increasing gradually. I believe it can effectively assist me in learning.","I don't think there are any issues with the usability, and the interaction is quite comfortable. In terms of drawbacks, I believe the content in the progressive expansion could be more concise.","As for improving the progressive knowledge expansion module, I believe the content could be further streamlined.","I think this programming module is very well designed. It functions similarly to commonly used editors like VSCode and PyCharm, featuring code suggestions, static checks, shortcut keys, etc. Its advantage, in my opinion, lies in its flexibility of being embedded directly into web pages, along with the ability to instantly display front-end rendering results.","I haven't encountered any difficulties while using it, and currently I don't see any drawbacks.",I think this programming module could also add a file tree to enable switching between multiple files.,"I believe the AI teaching assistant module can provide immediate answers to my difficulties and questions at any time. The advantage of this module, in my opinion, lies in the interoperability of chat histories between the learning page and the testing page, allowing me to revisit my previously asked questions whenever needed.","I haven't encountered any difficulties while using it, and find it very user-friendly. I don't see any significant drawbacks.","I think the AI teaching assistant module could be improved in terms of its output method. Currently, it delivers responses in entire paragraphs at once. I believe it could adopt a streaming output approach instead.","Currently, I find the user experience quite satisfactory and have no further suggestions for improvement beyond those mentioned above.",4,1,5,1,5,2,5,1,4,2,7,5,6,8,7,3,4,4,4,5,5,4,4,5,5,5,4,5
2025/09/09 5:45:36 PM GMT+8,exp003,male,Computer Science and Technology,1–2 years,Undergraduate – Year 3 (Junior),No,I think it is great to be able to study what I like based on my different interests. This can greatly stimulate my interest in learning.,No,"I think we can add more interest modules for us to choose from, but it would be better if we can manually input our own interests and then generate corresponding topics based on these interests.","By grabbing elements in this way, I can understand more clearly how this element is used in practice and where it should be placed. In addition, I can switch to view the elements of knowledge points that I have learned before, which is very helpful when I forget.",No,No,"Learning incrementally like this has reduced my cognitive load, which is great.",No,No,"It's great to be able to see the rendering effect in real time while writing code. The test questions are also of reasonable difficulty, and the error reports are very detailed.",No,No,"When I don't understand something, I can ask it. It seems to know exactly what I'm not understanding, which is amazing. When I'm stuck on a test, the ""Give Me Ideas"" button is handy. When I'm feeling frustrated, it seems to sense my emotions, which is amazing.",No,No,No,3,2,4,2,5,2,3,2,4,2,4,1,2,8,4,3,4,4,2,3,4,4,4,3,3,4,4,5
2025/09/10 12:11:40 AM GMT+8,baseline007,male,computer science and technology,2–4 years,Postgraduate or higher,Yes,"Yes,it is helpful to me.The content of the webpage is very rich.The explanation of the knowledge points is very detailed.The AI teaching assistant on the right side of the webpage is very creative","Yes,I have encountered difficulties before.The webpage has too many elements and is too crowded, which is very unfriendly to low resolution and small screen computers. The design of the knowledge point display module is not very user-friendly. When I place my mouse over it, the content of the module automatically floats up; After moving the mouse, the module content automatically sinks, which makes it difficult for me to focus on reading the knowledge points.",Do not let the content of the knowledge point display module automatically float up and down. Simplify the content appropriately and avoid making the entire page appear so crowded.,,,,,,,"Yes,it is helpful.Online IDE allows for real-time preview of code results, making the written code what you see is what you get.Separating HTML, CSS, and javascript code can make learners pay more attention to code learning
",I don't think there are any shortcomings,No suggestion,Integrating AI is very creative and greatly helpful for learning,"The AI response speed is too slow, and there is no feedback during the AI response process, which can easily make users think that the program is stuck.The content answered by AI is very diverse, with code and textual descriptions mixed together",Optimize AI's response speed and feedback。Optimize code correction speed.Optimize AI answer content,Additional questions can be added appropriately to consolidate the learned content,5,4,4,1,5,2,5,1,4,1,4,4,5,9,5,3,5,4,4,4,4,3,5,,4,5,5,5
2025/09/10 12:38:51 AM GMT+8,baseline008,male,Computer Science and Technology,2–4 years,Postgraduate or higher,Yes,"yes,you can study according to your own situation.","yes,It is impossible to review the key concepts while coding.",Add a module for example code.,,,,,,,"yes,the compilation module is diverse.","yes,sometimes the response speed is slow.",Increase response speed and error prompt information.,Yes，easy to browse.,No,No,No,3,4,4,1,5,3,4,1,3,1,4,2,5,5,5,2,4,4,2,4,4,4,4,3,3,4,3,4
2025/09/10 1:04:58 AM GMT+8,baseline009,male,Computer Science and Technology,6 months to 1 year,Undergraduate – Year 1 (Freshman),No,"Firstly, it is helpful to me. Its sample code allows me to quickly understand the meaning of the article and makes it convenient for me to write code.","No difficulties encountered, overall simple and easy to use. ","A page contains three parts: articles, sample code, and knowledge points display, which looks a bit crowded. Especially the knowledge points display, with abundant content but occupying less than a third of the page area, it requires me to scroll the side scrollbar repeatedly, which is very wearing on my patience. I suggest displaying the most important knowledge points on a separate page and increasing the font size appropriately.",,,,,,,Helpful. 1. It has word completion features 2. It can quickly evaluate the correctness of my code online and display my errors with multiple points,"During use, as a beginner, I often forget the fixed format and word spelling in the knowledge points display, frequently switching back and forth between the compiler and the knowledge points display, which is very inconvenient. ", It would be better if the compiler could remember my code instead of resetting it by switching pages.,"You answered my question very meticulously, even going so far as to guide me gently",Sometimes AI can't grasp the key point of my question,no,Keep going,4,2,5,2,4,1,4,1,4,1,7,8,5,8,5,3,4,5,4,4,4,5,5,5,5,5,5,5
2025/09/10 1:21:52 AM GMT+8,baseline004,Male,Big Data Technology and Science,2–4 years,Undergraduate – Year 3 (Junior),Yes,有帮助。优势是直观，内容有趣,代码太长时滑动查看代码不方便,"可以把代码区域改成自动换行显示，或者增加一键复制按钮和折叠，这样就不用来回拖动查看了。
",,,,,,,有，查漏补缺能纠错小细节,有，部分问题对于错误的定位不精准,最好改进布局实现代码一边写，右边实时预览,有，方便是引导学习而不是纯告诉答案,无,"建议可以折叠,建议代码区块可以一键复制","对已经学习的部分可以做出标记,知识点部分可以做到完全展开 对知识点区域的代码排版",3,3,4,1,4,2,5,1,3,3,4,4,4,9,5,5,4,4,4,4,4,5,4,5,5,5,5,5
2025/09/10 8:44:36 AM GMT+8,baseline005,Male,Data Science and Big Data Technology,2–4 years,Undergraduate – Year 3 (Junior),Yes,"I think the page is okay, but I can't really say it has any advantages, it's just like most pages","There are no major problems, but there are some minor flaws. In the sample code, if the code is very long, it will be very troublesome to move the text box, and it will be difficult to view.","In the example part of the knowledge point, it would be better if you could format the sample code or show the web page effect corresponding to the code.",,,,,,,"Yes, it is really helpful to me. Compared with many programming modules, I think the most advantageous one is its clear introduction and the layout is not troublesome to read. Moreover, its multi-bit integrated compiler is very convenient to view.","I encountered some problems in the chapter on check boxes and radio buttons in Module 3. The task description was not clear enough, and I think there were also some problems with the evaluation of the test results. You can see the details in the video I uploaded.",It would be better if the test requirements and test results could be optimized,A very novel thing that can help programmers or learners learn front-end more conveniently. Adding AI to programming allows users to ask questions and solve problems anytime and anywhere without having to jump to other AI web pages.,"I haven't encountered any difficulties yet, but maybe due to the settings, sometimes his answers are too long.",No ideas at the moment,"Very good webpage, which cleverly integrates AI into programming. There are some problems, but it does not prevent it from being a novel webpage.",4,2,4,3,4,2,4,2,5,3,8,8,8,9,5,5,4,4,3,4,4,4,4,3,5,4,4,4
2025/09/11 12:19:02 AM GMT+8,exp009,Male,English,Less than 6 months,Undergraduate – Year 4 (Senior),No,A little? I don't know since I didn't finish mine.,No difficulties. It could be a good part but I didn't use all of it and would say nothing on that.,I don't have.,Yes. A beginner like me could know what code is.,No difficulties. No disadvantages to me.,It could be more professional.,"Yes. 1. Each section has different functions, and the progression of difficulty is appropriate. 2. Easy to use.",No difficulties. No disadvantages to me.,Network lag should be solved.,Yes. 1. Clear enough make it easily got my targets. 2. It checked my code and could tell me where I made mistakes.,No. No.,Good enough.,A lot. I can ask all the questions I want to know quickly.,Yes. Too many professional terminologys are beyond the understanding of a beginner like me.,"If you can, make it simpler to use like the ""Programming Module"".",,3,2,5,1,4,1,5,1,5,1,9,4,3,8,8,1,3,3,3,5,5,5,2,3,1,5,4,5
