window_index,start_idx,end_idx,repeat_sim,repeat_eq,cw_persist,code_change,inrep_line,inrep_ng4_text,inrep_ng4_all,code_dup_msg_inwin,code_dup_msg_lookback,code_repeat_excess,code_repeat_penalty,dup_max_inwin,high_dup_penalty,high_dup_penalty_w,high_dup_flag,done_hits,stuck_hits,ai_wrong_hits,q_densi ty,code_line_rate,fenced_blocks,progress_score,inrep_ng4,cluster
0,0,11,0.0,0.0,0.0,0.5,0.4782608695652174,0.0,0.031192660550458662,0.1428571428571429,0.0,0.031192660550458662,0.011697247706421998,0.4782608695652174,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.3930853609892302,0.0,1
1,8,19,0.6699029126213593,0.2631578947368421,0.33495145631067963,0.018296315207216418,0.4782608695652174,0.0,0.027859237536656867,0.25,0.3333333333333333,0.027859237536656867,0.018233010763502318,0.4782608695652174,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,0.0,-0.13560131219598287,0.0,2
2,16,27,0.08878504672897196,0.2,0.08433742694575319,0.5880149812734082,0.4782608695652174,0.0,0.25396825396825395,0.16666666666666663,0.2,0.25396825396825395,0.0784733369003032,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,-0.14514574836896826,0.0,2
3,24,35,0.30434782608695654,0.25,0.17687979539641946,0.6612077789150461,0.4347826086956522,0.0,0.0,0.0,0.5,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,-0.12463641399241374,0.0,1
4,32,43,0.30337078651685395,0.2631578947368421,0.2231139646869984,0.41074856046065256,0.5217391304347826,0.0,0.27826086956521734,0.2857142857142857,0.2,0.27826086956521734,0.1298061142173635,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,-0.38320472008639295,0.0,2
5,40,51,0.3838383838383838,0.2777777777777778,0.25117845117845117,0.16349310571240971,0.4782608695652174,0.0,0.06711409395973156,0.125,0.2857142857142857,0.06711409395973156,0.04678450191765047,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,-0.37392794579348754,0.0,2
6,48,59,0.38686131386861317,0.2631578947368421,0.2761374238515998,0.31160033869602033,0.4782608695652174,0.0,0.05747126436781613,0.11111111111111116,0.5,0.05747126436781613,0.032969332437930085,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666,0.0,-0.35553636609375655,0.0,2
7,56,67,0.24615384615384617,0.2777777777777778,0.181216457960644,0.2183994016454749,0.5217391304347826,0.0,0.31818181818181823,0.33333333333333337,0.5,0.31818181818181823,0.17615619546247824,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,-0.5567891495187645,0.0,2
8,64,75,0.2903225806451613,0.21052631578947367,0.20800282037722545,0.18960244648318048,0.4782608695652174,0.0,0.13875598086124397,0.25,0.3333333333333333,0.13875598086124397,0.07496500495051917,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.3982571100358603,0.0,2
9,72,83,0.33112582781456956,0.25,0.24276879626022596,0.33333333333333337,0.4347826086956522,0.0,0.0357142857142857,0.0,0.2,0.0357142857142857,0.015873015873015865,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.20373792189877202,0.0,0
10,80,91,0.38235294117647056,0.23809523809523808,0.273493543758967,0.26038104543234,0.4347826086956522,0.0,0.06849315068493156,0.0,0.3333333333333333,0.06849315068493156,0.0422156937538619,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,-0.29887527334582353,0.0,0
11,88,99,0.2413793103448276,0.23809523809523808,0.1828198326872067,0.24465116279069765,0.4347826086956522,0.14754098360655743,0.0714285714285714,0.0,0.4,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.3333333333333333,0.0,-0.251470087121892,0.14754098360655743,0
12,96,107,0.3592814371257485,0.23809523809523808,0.253620310399609,0.23131046613896222,0.4347826086956522,0.12345679012345678,0.05327868852459017,0.0,0.6,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,-0.335075848841052,0.12345679012345678,0
13,104,115,0.15053763440860216,0.23809523809523808,0.10400444938820913,0.20171673819742486,0.4347826086956522,0.19791666666666663,0.06830601092896171,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.228547793757168,0.19791666666666663,1
14,112,123,0.7692307692307693,0.23809523809523808,0.4384348290598291,0.010845986984815648,0.4347826086956522,0.0,0.01834862385321101,0.0,1.0,0.01834862385321101,0.010587275368664054,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,-0.23355799502555155,0.0,0
15,120,131,0.0782312925170068,0.23809523809523808,0.06735484891631072,0.7023151185678134,0.4347826086956522,0.0,0.034103410341034146,0.0,0.0,0.034103410341034146,0.006345043539877473,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.44459802284431543,0.0,1
16,128,139,0.5963687150837989,0.23809523809523808,0.3233944415755129,0.505208049299231,0.4347826086956522,0.0,0.3523421588594705,0.0,0.25,0.3523421588594705,0.14528005341349803,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.023569249776026147,0.0,2
17,136,147,0.4373297002724796,0.23809523809523808,0.2894923396173057,0.44944203754759093,0.4347826086956522,0.21621621621621623,0.2426693629929222,0.0,1.0,0.02645314677670596,0.00910249411864859,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.08333333333333333,0.25,0.0,-0.015555105746146946,0.21621621621621623,2
18,144,155,0.1514476614699332,0.23809523809523808,0.10315525218135063,0.7964858410098943,0.4347826086956522,0.10344827586206895,0.09756097560975607,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.1915588635445056,0.10344827586206895,1
19,152,163,0.39,0.23809523809523808,0.24096412556053812,0.15892193308550184,0.4347826086956522,0.0757575757575758,0.10683760683760679,0.0,0.5,0.03108003108003099,0.017427154973623325,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0.027559806540727688,0.0757575757575758,2
20,160,171,0.2222222222222222,0.23809523809523808,0.1551111111111111,0.39185655584609635,0.4347826086956522,0.0,0.04591836734693877,0.0,0.1111111111111111,0.04591836734693877,0.0221072553040641,0.4347826086956522,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.5833333333333334,0.0,0.12469465691342235,0.0,1
21,168,179,0.4785276073619632,0.3,0.28815269256987047,0.11231603408210689,0.4347826086956522,0.0,0.07234042553191489,0.0,0.625,0.07234042553191489,0.05083722003395027,0.4347826086956522,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5833333333333334,0.0,-0.2036121673079527,0.0,2
22,176,187,0.25,0.23809523809523808,0.19791666666666669,0.5333333333333333,0.4347826086956522,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,0.0,0.00553234989648034,0.0,1
23,184,195,0.3372093023255814,0.25,0.23647795433021152,0.3475935828877005,0.4782608695652174,0.0,0.02010050251256279,0.25,0.6666666666666666,0.02010050251256279,0.008742464550918577,0.4782608695652174,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.005803217368819131,0.0,2
24,192,203,0.22784810126582278,0.25,0.1932343954604976,0.9272727272727272,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08971177989831323,0.0,1
25,200,211,0.2894736842105263,0.23809523809523808,0.1918572609534307,0.6131687242798354,0.4347826086956522,0.0,0.0,0.0,0.5,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,-0.1382504680129756,0.0,1
26,208,219,0.28651685393258425,0.23809523809523808,0.2247801660967269,0.6509349955476402,0.4347826086956522,0.0,0.004201680672268893,0.0,0.25,0.004201680672268893,0.00097777312171529,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,-0.0766633291682833,0.0,1
27,216,227,0.1341772151898734,0.23809523809523808,0.09243715005374532,0.8911780243000529,0.4347826086956522,0.0,0.05947323704333052,0.0,0.3333333333333333,0.05947323704333052,0.004853996367244881,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.5,0.0,0.04014620743980713,0.0,1
28,224,235,0.42213642213642216,0.25,0.25524924555096973,0.5996425379803396,0.4782608695652174,0.05128205128205132,0.024460431654676262,0.0,1.0,0.0,0.0,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.31284611315252747,0.05128205128205132,0
29,232,243,0.14903846153846154,0.25,0.12037350212601469,0.6073692551505547,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.011397680917000927,0.0,1
30,240,251,0.2597402597402597,0.23809523809523808,0.16469600051689604,0.7049455155071249,0.4347826086956522,0.0,0.0,0.0,0.5,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,-0.09561597873366229,0.0,1
31,248,259,0.28368794326241137,0.23809523809523808,0.21722085605331623,0.39543057996485065,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,-0.10557402118946453,0.0,1
32,256,267,0.328042328042328,0.23809523809523808,0.23244221665274295,0.3225499524262607,0.4347826086956522,0.013157894736842146,0.008928571428571397,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.08333333333333333,0.0,-0.14482492832258992,0.013157894736842146,1
33,264,275,0.42162162162162165,0.23809523809523808,0.27797498991528846,0.0,0.4347826086956522,0.17123287671232879,0.11467889908256879,0.0,1.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,-0.5269865032185443,0.17123287671232879,0
